Ticker,Gate_Passed,Return_Type,Original_E_Ret,E_Total_3M,Realized_3M,Gap,Adj_Weight,Vol_3M,Adjustment,Adjusted_E_Total,Adjustment_Applied
GE,False,CAPM,0.026151,0.026151,0.1785,0.15235,1.5686,0.09828,0.154158,0.180309,True
CAT,False,CAPM,0.031042,0.031042,0.324613,0.293572,2.9204,0.179297,0.523621,0.554663,True
KO,False,CAPM,0.007839,0.007839,0.09725,0.089411,0.5917,0.063591,0.037628,0.045466,True
NFLX,False,CAPM,0.023584,0.023584,-0.282105,0.305689,2.9444,0.184405,-0.542966,-0.519382,True
AMD,False,CAPM,0.045624,0.045624,-0.017974,0.063598,0.3023,0.265135,-0.080157,-0.034533,True
PLTR,False,CAPM,0.043806,0.043806,-0.135406,0.179212,1.997,0.195903,-0.391219,-0.347413,True
CSCO,False,CAPM,0.029638,0.029638,0.045265,0.015626,0.0183,0.073866,0.001353,0.030991,True
LRCX,False,CAPM,0.044499,0.044499,0.542183,0.497684,3.0,0.192116,0.576344,0.620843,True
MRK,False,CAPM,0.012219,0.012219,0.232145,0.219926,2.5093,0.147702,0.37063,0.382849,True
AMAT,False,CAPM,0.040673,0.040673,0.517495,0.476822,2.9999,0.203809,0.611413,0.652085,True
PM,True,Grinold-Kahn,-0.000322,0.024371,0.175777,0.151406,1.5529,0.133295,0.206991,0.231362,True
MS,True,Grinold-Kahn,8e-06,0.0247,0.108953,0.084253,0.5269,0.122674,0.064634,0.089334,True
GS,True,Grinold-Kahn,-0.00315,0.021542,0.18014,0.158598,1.6717,0.137031,0.22908,0.250622,True
RTX,False,CAPM,0.015011,0.015011,0.192021,0.17701,1.9638,0.056897,0.111735,0.126747,True
WFC,True,Grinold-Kahn,-0.004007,0.020686,0.069998,0.049312,0.1821,0.090571,0.016497,0.037183,True
UNH,False,CAPM,0.012632,0.012632,-0.091645,0.104278,0.796,0.252795,-0.201232,-0.1886,True
IBM,True,Grinold-Kahn,-0.000317,0.024375,-0.139829,0.164204,1.763,0.105975,-0.18683,-0.162455,True
AXP,True,Grinold-Kahn,0.003134,0.027827,-0.016979,0.044805,0.1504,0.119586,-0.01799,0.009837,True
TMUS,False,CAPM,0.007028,0.007028,0.033089,0.026061,0.0509,0.114814,0.005848,0.012876,True
MCD,False,CAPM,0.011154,0.011154,0.068266,0.057112,0.2441,0.042889,0.010469,0.021623,True
LIN,False,CAPM,0.014956,0.014956,0.188462,0.173505,1.9101,0.07466,0.142609,0.157565,True
GEV,False,CAPM,0.034808,0.034808,0.402091,0.367283,2.9929,0.228934,0.685187,0.719995,True
PEP,False,CAPM,0.009936,0.009936,0.129451,0.119514,1.028,0.085913,0.088314,0.098251,True
INTC,False,CAPM,0.036025,0.036025,0.245727,0.209702,2.4008,0.21714,0.521315,0.55734,True
VZ,True,Grinold-Kahn,-0.010395,0.014298,0.194944,0.180646,2.0184,0.069842,0.140968,0.155266,True
C,False,CAPM,0.032432,0.032432,0.166704,0.134272,1.2675,0.143309,0.181642,0.214074,True
AMGN,False,CAPM,0.017316,0.017316,0.11148,0.094165,0.6543,0.091279,0.059727,0.077043,True
TXN,True,Grinold-Kahn,-0.0645,-0.039808,0.327489,0.367297,2.993,0.16897,0.505718,0.46591,True
KLAC,False,CAPM,0.042835,0.042835,0.311405,0.26857,2.8414,0.126092,0.35828,0.401115,True
T,True,Grinold-Kahn,-0.000211,0.024482,0.087745,0.063263,0.2992,0.104492,0.031261,0.055743,True
ABT,True,Grinold-Kahn,-0.001931,0.022762,-0.127464,0.150226,1.5333,0.076062,-0.116623,-0.093861,True
NEE,False,CAPM,0.012241,0.012241,0.099136,0.086895,0.5597,0.075169,0.04207,0.054311,True
TMO,False,CAPM,0.023529,0.023529,-0.138858,0.162386,1.7336,0.179385,-0.310975,-0.287446,True
GILD,False,CAPM,0.014892,0.014892,0.18516,0.170268,1.8596,0.07666,0.142557,0.157449,True
DIS,True,Grinold-Kahn,-0.068323,-0.04363,0.019133,0.062763,0.2945,0.144933,0.042681,-0.00095,True
APH,False,CAPM,0.033495,0.033495,0.139704,0.106209,0.8243,0.160043,0.131921,0.165417,True
ISRG,True,Grinold-Kahn,0.012048,0.036741,-0.108132,0.144873,1.444,0.145437,-0.210006,-0.173265,True
BA,False,CAPM,0.020801,0.020801,0.255578,0.234777,2.6415,0.14939,0.394616,0.415416,True
DE,False,CAPM,0.018196,0.018196,0.310702,0.292506,2.9179,0.089671,0.261651,0.279847,True
ADI,True,Grinold-Kahn,-0.012688,0.012005,0.427612,0.415607,2.9989,0.139479,0.418287,0.430292,True
TJX,False,CAPM,0.012223,0.012223,0.046749,0.034527,0.0894,0.055961,0.005002,0.017225,True
CRM,False,CAPM,0.027947,0.027947,-0.202601,0.230548,2.6069,0.108241,-0.282171,-0.254224,True
ANET,False,CAPM,0.038752,0.038752,0.122926,0.084175,0.5259,0.277247,0.145807,0.184559,True
SCHW,False,CAPM,0.024556,0.024556,0.041525,0.016969,0.0216,0.078546,0.001696,0.026252,True
BLK,False,CAPM,0.027042,0.027042,0.079755,0.052713,0.2081,0.106815,0.022224,0.049266,True
UNP,True,Grinold-Kahn,-0.032668,-0.007975,0.168197,0.176172,1.9511,0.06622,0.129199,0.121224,True
LOW,False,CAPM,0.019497,0.019497,0.183996,0.164499,1.7677,0.113089,0.199909,0.219406,True
HON,True,Grinold-Kahn,-0.014045,0.010648,0.249916,0.239268,2.6758,0.099695,0.266759,0.277406,True
PFE,True,Grinold-Kahn,-0.003136,0.021556,0.078927,0.057371,0.2463,0.081762,0.020138,0.041694,True
LMT,False,CAPM,0.01222,0.01222,0.364243,0.352023,2.9878,0.110126,0.329034,0.341254,True
DHR,False,CAPM,0.022833,0.022833,-0.080559,0.103392,0.7832,0.10751,-0.084201,-0.061368,True
UBER,False,CAPM,0.023838,0.023838,-0.127097,0.150935,1.545,0.135374,-0.209159,-0.185321,True
QCOM,False,CAPM,0.034407,0.034407,-0.128487,0.162894,1.7418,0.107991,-0.188098,-0.15369,True
WELL,True,Grinold-Kahn,0.008381,0.033074,0.040484,0.00741,0.0041,0.05557,0.000229,0.033303,True
ETN,False,CAPM,0.030829,0.030829,0.118336,0.087507,0.5674,0.159218,0.090339,0.121168,True
APP,False,CAPM,0.063258,0.063258,-0.217222,0.28048,2.8848,0.291842,-0.841904,-0.778646,True
SYK,False,CAPM,0.016496,0.016496,0.034448,0.017952,0.0242,0.052561,0.00127,0.017766,True
COP,False,CAPM,0.020028,0.020028,0.242887,0.222859,2.5378,0.099977,0.253718,0.273747,True
NEM,False,CAPM,0.02607,0.02607,0.383261,0.357192,2.9898,0.102344,0.305993,0.332063,True
ACN,True,Grinold-Kahn,-0.021742,0.00295,-0.156569,0.159519,1.6868,0.121927,-0.205671,-0.20272,True
PLD,False,CAPM,0.018686,0.018686,0.125517,0.106831,0.8335,0.090335,0.075291,0.093977,True
BKNG,True,Grinold-Kahn,0.014335,0.039028,-0.154706,0.193733,2.2033,0.109441,-0.241137,-0.202109,True
COF,False,CAPM,0.032218,0.032218,0.006461,0.025756,0.0497,0.109344,0.00544,0.037658,True
CB,False,CAPM,0.00889,0.00889,0.105924,0.097033,0.6934,0.058928,0.040861,0.049751,True
PH,False,CAPM,0.025649,0.025649,0.198714,0.173065,1.9033,0.11543,0.219696,0.245344,True
MDT,True,Grinold-Kahn,-0.014286,0.010407,-0.043832,0.054239,0.2202,0.066522,-0.014651,-0.004244,True
BMY,False,CAPM,0.013125,0.013125,0.282971,0.269847,2.8466,0.140459,0.399837,0.412962,True
SPGI,True,Grinold-Kahn,0.004835,0.029528,-0.165525,0.195052,2.2209,0.087322,-0.193933,-0.164406,True
VRTX,False,CAPM,0.019389,0.019389,0.111085,0.091696,0.6215,0.115606,0.071848,0.091237,True
PANW,False,CAPM,0.028024,0.028024,-0.207009,0.235032,2.6435,0.118433,-0.313082,-0.285058,True
GLW,False,CAPM,0.034894,0.034894,0.562883,0.527989,3.0,0.193688,0.581064,0.615957,True
PGR,False,CAPM,0.010083,0.010083,-0.044461,0.054544,0.2227,0.093243,-0.020767,-0.010684,True
HCA,True,Grinold-Kahn,0.033503,0.058196,0.082249,0.024053,0.0434,0.06725,0.002918,0.061114,True
MCK,False,CAPM,0.008692,0.008692,0.090817,0.082126,0.5011,0.07868,0.039427,0.048119,True
MO,True,Grinold-Kahn,0.025211,0.049904,0.167586,0.117683,0.9991,0.092701,0.092616,0.14252,True
CMCSA,False,CAPM,0.015991,0.015991,0.212684,0.196694,2.2424,0.099855,0.223918,0.239908,True
SBUX,False,CAPM,0.02343,0.02343,0.139418,0.115987,0.9726,0.129138,0.125597,0.149028,True
CME,True,Grinold-Kahn,-0.007375,0.017317,0.12519,0.107873,0.8489,0.061716,0.052392,0.06971,True
BSX,False,CAPM,0.013301,0.013301,-0.261601,0.274902,2.8659,0.089838,-0.25747,-0.244169,True
TT,False,CAPM,0.023857,0.023857,0.130185,0.106328,0.826,0.13254,0.109484,0.133341,True
HWM,True,Grinold-Kahn,0.030405,0.055097,0.269296,0.214198,2.4503,0.109046,0.267195,0.322293,True
SO,False,CAPM,0.005202,0.005202,0.06264,0.057437,0.2469,0.055751,0.013763,0.018966,True
INTU,False,CAPM,0.027922,0.027922,-0.553544,0.581466,3.0,0.179564,-0.538692,-0.51077,True
ADBE,False,CAPM,0.022303,0.022303,-0.226009,0.248312,2.7371,0.081151,-0.222118,-0.199815,True
CEG,False,CAPM,0.034159,0.034159,-0.136938,0.171097,1.8726,0.230166,-0.431009,-0.39685,True
NOW,False,CAPM,0.025725,0.025725,-0.444838,0.470564,2.9999,0.187946,-0.56382,-0.538094,True
NOC,True,Grinold-Kahn,-0.001861,0.022832,0.248398,0.225567,2.563,0.095137,0.243837,0.266669,True
UPS,False,CAPM,0.019475,0.019475,0.223421,0.203946,2.3335,0.155766,0.363478,0.382953,True
DUK,False,CAPM,0.005829,0.005829,0.040377,0.034548,0.0895,0.05194,0.004648,0.010477,True
CRWD,True,Grinold-Kahn,0.0463,0.070992,-0.233221,0.304214,2.9419,0.15757,-0.463553,-0.392561,True
CVS,False,CAPM,0.011322,0.011322,-0.009128,0.02045,0.0314,0.13154,-0.004126,0.007196,True
WM,False,CAPM,0.012375,0.012375,0.065141,0.052766,0.2085,0.066085,0.013778,0.026152,True
EQIX,False,CAPM,0.015617,0.015617,0.206856,0.19124,2.1696,0.079594,0.172688,0.188304,True
USB,True,Grinold-Kahn,-0.006939,0.017754,0.214772,0.197018,2.2466,0.130337,0.292821,0.310575,True
FDX,False,CAPM,0.020714,0.020714,0.371046,0.350331,2.9871,0.167094,0.49912,0.519834,True
MAR,False,CAPM,0.022235,0.022235,0.162183,0.139948,1.3618,0.130897,0.178253,0.200488,True
FCX,False,CAPM,0.0354,0.0354,0.481046,0.445646,2.9997,0.183061,0.549129,0.584529,True
BX,False,CAPM,0.033017,0.033017,-0.150959,0.183976,2.0672,0.177344,-0.366608,-0.333591,True
PNC,False,CAPM,0.021912,0.021912,0.227501,0.205589,2.3532,0.143779,0.338334,0.360246,True
GD,True,Grinold-Kahn,-0.001608,0.023085,0.036114,0.013029,0.0127,0.061837,0.000787,0.023872,True
SNDK,False,CAPM,0.047665,0.047665,1.17726,1.129595,3.0,0.568428,1.705283,1.752948,True
WDC,False,CAPM,0.041342,0.041342,0.719276,0.677934,3.0,0.327931,0.983792,1.025134,True
NKE,True,Grinold-Kahn,-0.03784,-0.013147,0.046931,0.060078,0.27,0.173792,0.046919,0.033772,True
AMT,False,CAPM,0.00735,0.00735,0.051939,0.044589,0.149,0.101927,0.015186,0.022536,True
ITW,False,CAPM,0.017841,0.017841,0.180846,0.163006,1.7436,0.07548,0.131606,0.149446,True
RCL,False,CAPM,0.03335,0.03335,0.179974,0.146624,1.4732,0.238085,0.350747,0.384097,True
ECL,True,Grinold-Kahn,-0.020051,0.004642,0.132843,0.128201,1.1677,0.059079,0.068985,0.073627,True
ADP,False,CAPM,0.017832,0.017832,-0.15925,0.177083,1.9649,0.070814,-0.139144,-0.121312,True
MRSH,False,CAPM,0.010318,0.010318,-0.003819,0.014138,0.015,0.070324,-0.001054,0.009264,True
ICE,True,Grinold-Kahn,-0.002042,0.022651,0.000255,0.022396,0.0376,0.099777,0.003753,0.026404,True
MMM,False,CAPM,0.022801,0.022801,-0.001669,0.02447,0.0449,0.072517,-0.003256,0.019544,True
JCI,False,CAPM,0.023191,0.023191,0.236111,0.21292,2.4365,0.104313,0.25416,0.277351,True
WMB,True,Grinold-Kahn,0.013631,0.038324,0.210604,0.17228,1.8911,0.061795,0.116859,0.155182,True
SHW,False,CAPM,0.018558,0.018558,0.067592,0.049033,0.1801,0.05298,0.009542,0.0281,True
STX,False,CAPM,0.034437,0.034437,0.551355,0.516919,3.0,0.259571,0.778711,0.813148,True
KKR,False,CAPM,0.039915,0.039915,-0.157625,0.19754,2.2534,0.195384,-0.440279,-0.400364,True
BK,True,Grinold-Kahn,0.000869,0.025562,0.109226,0.083664,0.5197,0.074435,0.038683,0.064244,True
ORLY,False,CAPM,0.014348,0.014348,-0.0715,0.085847,0.5466,0.087017,-0.04756,-0.033212,True
MCO,False,CAPM,0.025313,0.025313,-0.068665,0.093978,0.6518,0.082687,-0.053898,-0.028586,True
CTAS,False,CAPM,0.017913,0.017913,0.076044,0.05813,0.2528,0.090991,0.023006,0.040919,True
CDNS,True,Grinold-Kahn,0.065796,0.090488,-0.014409,0.104897,0.8051,0.148642,-0.119665,-0.029177,True
DELL,False,CAPM,0.045318,0.045318,0.002404,0.042913,0.138,0.218746,0.030191,0.075509,True
CSX,True,Grinold-Kahn,-0.027266,-0.002574,0.214151,0.216724,2.4769,0.1102,0.272951,0.270378,True
MNST,False,CAPM,0.011198,0.011198,0.150734,0.139536,1.3549,0.071844,0.097343,0.108541,True
PWR,True,Grinold-Kahn,-0.003785,0.020908,0.25087,0.229962,2.6019,0.188933,0.491583,0.512491,True
REGN,False,CAPM,0.018201,0.018201,0.032164,0.013963,0.0146,0.175113,0.002561,0.020761,True
CRH,False,CAPM,0.031018,0.031018,0.118761,0.087743,0.5704,0.104975,0.059876,0.090895,True
EMR,False,CAPM,0.031638,0.031638,0.151481,0.119842,1.0331,0.148457,0.153376,0.185015,True
SNPS,False,CAPM,0.03744,0.03744,0.124706,0.087266,0.5643,0.210639,0.118874,0.156313,True
CMI,False,CAPM,0.032748,0.032748,0.230964,0.198216,2.2621,0.168409,0.380958,0.413705,True
MDLZ,True,Grinold-Kahn,-0.00551,0.019182,0.040255,0.021073,0.0333,0.08979,0.00299,0.022172,True
HLT,False,CAPM,0.021779,0.021779,0.140737,0.118958,1.0192,0.106443,0.108482,0.130261,True
KMI,False,CAPM,0.014822,0.014822,0.202852,0.18803,2.1251,0.062969,0.133813,0.148635,True
GM,False,CAPM,0.02337,0.02337,0.149521,0.126152,1.1343,0.146988,0.166734,0.190104,True
CI,False,CAPM,0.012039,0.012039,0.013553,0.001514,0.0002,0.094513,1.6e-05,0.012056,True
TDG,False,CAPM,0.022682,0.022682,-0.006135,0.028817,0.0623,0.075253,-0.004686,0.017996,True
ELV,False,CAPM,0.011812,0.011812,0.068954,0.057142,0.2444,0.156091,0.038141,0.049953,True
DASH,False,CAPM,0.033205,0.033205,-0.072945,0.10615,0.8234,0.166629,-0.137205,-0.104,True
SLB,False,CAPM,0.024989,0.024989,0.353846,0.328857,2.9732,0.156394,0.464994,0.489983,True
CL,True,Grinold-Kahn,-0.002777,0.021916,0.167344,0.145428,1.4532,0.078808,0.114526,0.136442,True
MSI,False,CAPM,0.012414,0.012414,0.229762,0.217349,2.4833,0.120573,0.299421,0.311835,True
ABNB,False,CAPM,0.028623,0.028623,0.112694,0.084071,0.5246,0.098744,0.051806,0.080429,True
HOOD,False,CAPM,0.057452,0.057452,-0.343449,0.400901,2.9981,0.354865,-1.063906,-1.006455,True
TRV,True,Grinold-Kahn,0.007065,0.031758,0.053908,0.02215,0.0368,0.038113,0.001402,0.03316,True
TFC,False,CAPM,0.024749,0.024749,0.150143,0.125394,1.1221,0.127891,0.143501,0.16825,True
LHX,False,CAPM,0.015875,0.015875,0.248495,0.23262,2.6241,0.098753,0.259143,0.275017,True
EOG,False,CAPM,0.015917,0.015917,0.149774,0.133857,1.2606,0.089518,0.112848,0.128765,True
PCAR,False,CAPM,0.023016,0.023016,0.236222,0.213205,2.4396,0.126907,0.309603,0.33262,True
RSG,False,CAPM,0.013346,0.013346,0.005234,0.008112,0.0049,0.086772,0.000428,0.013774,True
WBD,False,CAPM,0.026714,0.026714,0.215779,0.189065,2.1396,0.273533,0.585241,0.611955,True
TEL,False,CAPM,0.029814,0.029814,0.072744,0.04293,0.1381,0.129629,0.017905,0.047719,True
APO,False,CAPM,0.035363,0.035363,-0.078456,0.113819,0.939,0.13768,-0.129283,-0.093919,True
AON,False,CAPM,0.00923,0.00923,-0.063871,0.073101,0.3984,0.059462,-0.023691,-0.01446,True
AEP,False,CAPM,0.006298,0.006298,0.076085,0.069786,0.3635,0.052097,0.018935,0.025234,True
COR,False,CAPM,0.012739,0.012739,-0.010949,0.023687,0.0421,0.072577,-0.003054,0.009685,True
NSC,False,CAPM,0.018932,0.018932,0.103873,0.084941,0.5353,0.098372,0.052662,0.071593,True
BKR,True,Grinold-Kahn,-0.023441,0.001252,0.244913,0.243661,2.7068,0.144456,0.391012,0.392264,True
DLR,True,Grinold-Kahn,-0.003142,0.02155,0.119245,0.097695,0.7025,0.117068,0.082245,0.103795,True
O,False,CAPM,0.008148,0.008148,0.168463,0.160315,1.6998,0.04354,0.074011,0.082159,True
SRE,False,CAPM,0.015371,0.015371,0.018555,0.003184,0.0008,0.125412,9.5e-05,0.015466,True
VLO,False,CAPM,0.022311,0.022311,0.152318,0.130007,1.1972,0.129079,0.154536,0.176847,True
ROST,False,CAPM,0.017715,0.017715,0.148761,0.131046,1.2143,0.11804,0.143334,0.161049,True
AZO,False,CAPM,0.014067,0.014067,-0.039072,0.053139,0.2114,0.10227,-0.021623,-0.007556,True
PSX,False,CAPM,0.021369,0.021369,0.152504,0.131136,1.2157,0.110833,0.134745,0.156113,True
SPG,False,CAPM,0.018548,0.018548,0.109084,0.090536,0.6063,0.084106,0.050993,0.069541,True
APD,True,Grinold-Kahn,-0.027872,-0.003179,0.095753,0.098932,0.7198,0.098093,0.070603,0.067424,True
F,False,CAPM,0.020954,0.020954,0.098757,0.077804,0.4506,0.079242,0.035704,0.056658,True
PSA,False,CAPM,0.015872,0.015872,0.134676,0.118804,1.0167,0.050622,0.051469,0.067341,True
GWW,False,CAPM,0.022649,0.022649,0.170543,0.147893,1.4944,0.098446,0.147115,0.169765,True
CARR,False,CAPM,0.025572,0.025572,0.206251,0.180679,2.0189,0.148446,0.29969,0.325263,True
ALL,True,Grinold-Kahn,0.015255,0.039948,-0.033093,0.073041,0.3978,0.043747,-0.017401,0.022547,True
ZTS,False,CAPM,0.019507,0.019507,0.057854,0.038346,0.1102,0.081258,0.008957,0.028465,True
OKE,False,CAPM,0.018557,0.018557,0.22726,0.208703,2.3895,0.110722,0.264565,0.283122,True
AJG,False,CAPM,0.009949,0.009949,-0.146796,0.156745,1.6413,0.108308,-0.177765,-0.167816,True
AME,False,CAPM,0.021341,0.021341,0.18168,0.160339,1.7002,0.08226,0.139862,0.161203,True
D,False,CAPM,0.009261,0.009261,0.081725,0.072464,0.3916,0.046695,0.018285,0.027546,True
MPC,True,Grinold-Kahn,-4.9e-05,0.024643,0.036702,0.012058,0.0109,0.126266,0.001377,0.02602,True
VST,False,CAPM,0.036681,0.036681,0.017924,0.018757,0.0264,0.261438,0.006898,0.043579,True
NXPI,True,Grinold-Kahn,-0.016871,0.007822,0.198253,0.190431,2.1585,0.131283,0.283373,0.291195,True
MPWR,False,CAPM,0.045224,0.045224,0.323987,0.278763,2.8792,0.146625,0.422169,0.467393,True
AFL,False,CAPM,0.011376,0.011376,0.032411,0.021034,0.0332,0.045494,0.00151,0.012886,True
URI,True,Grinold-Kahn,0.07376,0.098452,0.130104,0.031652,0.0751,0.197964,0.014872,0.113324,True
FTNT,False,CAPM,0.028795,0.028795,0.014352,0.014443,0.0156,0.122693,0.001919,0.030715,True
ADSK,True,Grinold-Kahn,-0.000635,0.024058,-0.247774,0.271832,2.8545,0.11174,-0.318959,-0.294901,True
EXC,False,CAPM,0.004181,0.004181,0.043625,0.039443,0.1166,0.078104,0.009109,0.01329,True
FITB,False,CAPM,0.023242,0.023242,0.242754,0.219512,2.5052,0.138045,0.345829,0.369071,True
XEL,False,CAPM,0.008624,0.008624,0.031012,0.022388,0.0376,0.064237,0.002415,0.011039,True
CIEN,False,CAPM,0.041166,0.041166,0.630738,0.589572,3.0,0.331049,0.993146,1.034312,True
GRMN,False,CAPM,0.030194,0.030194,0.262637,0.232444,2.6227,0.134478,0.352695,0.382889,True
CVNA,False,CAPM,0.047131,0.047131,0.08277,0.035639,0.0952,0.231362,0.022032,0.069163,True
DHI,False,CAPM,0.015667,0.015667,0.114988,0.099321,0.7252,0.170214,0.12344,0.139107,True
ETR,False,CAPM,0.012771,0.012771,0.11104,0.098269,0.7105,0.053892,0.03829,0.051061,True
TRGP,False,CAPM,0.023418,0.023418,0.309937,0.286519,2.9026,0.13155,0.38184,0.405258,True
CMG,False,CAPM,0.024163,0.024163,0.171301,0.147138,1.4818,0.153123,0.226894,0.251057,True
CTVA,True,Grinold-Kahn,-0.019297,0.005396,0.154815,0.149419,1.5198,0.115974,0.176259,0.181654,True
FANG,False,CAPM,0.021568,0.021568,0.183925,0.162357,1.7331,0.116357,0.201656,0.223224,True
MET,False,CAPM,0.024643,0.024643,0.059432,0.034789,0.0907,0.059299,0.005381,0.030024,True
EA,True,Grinold-Kahn,-0.012169,0.012523,-0.000511,0.013034,0.0127,0.117818,-0.001501,0.011022,True
TGT,False,CAPM,0.022048,0.022048,0.296631,0.274583,2.8648,0.172753,0.494899,0.516947,True
CAH,False,CAPM,0.011901,0.011901,0.07147,0.059569,0.2654,0.123136,0.032685,0.044586,True
BDX,False,CAPM,0.016964,0.016964,0.207242,0.190278,2.1564,0.143761,0.310003,0.326967,True
FAST,True,Grinold-Kahn,0.004953,0.029646,0.152303,0.122657,1.078,0.119959,0.129315,0.158961,True
FIX,True,Grinold-Kahn,0.015279,0.039972,0.491923,0.451951,2.9998,0.272631,0.817832,0.857804,True
OXY,True,Grinold-Kahn,-0.027598,-0.002905,0.229708,0.232613,2.6241,0.114595,0.300706,0.297801,True
TER,False,CAPM,0.04375,0.04375,0.716199,0.672449,3.0,0.358404,1.075212,1.118962,True
IDXX,False,CAPM,0.024727,0.024727,-0.132762,0.157489,1.6535,0.110993,-0.183531,-0.158804,True
VTR,False,CAPM,0.011958,0.011958,0.087274,0.075316,0.4226,0.071767,0.030329,0.042288,True
AIG,True,Grinold-Kahn,0.006878,0.031571,0.062533,0.030962,0.0719,0.070976,0.005102,0.036673,True
EL,False,CAPM,0.032525,0.032525,0.243258,0.210734,2.4124,0.210206,0.507103,0.539628,True
MLM,True,Grinold-Kahn,0.012622,0.037315,0.129907,0.092592,0.6333,0.099054,0.062734,0.100049,True
KEYS,False,CAPM,0.032721,0.032721,0.343667,0.310946,2.9527,0.134051,0.395808,0.428529,True
KR,False,CAPM,0.006518,0.006518,0.009534,0.003016,0.0007,0.075626,5.2e-05,0.006569,True
MCHP,False,CAPM,0.034876,0.034876,0.432358,0.397481,2.9978,0.243991,0.73143,0.766306,True
ODFL,False,CAPM,0.027656,0.027656,0.407298,0.379642,2.9956,0.162027,0.485361,0.513016,True
PEG,True,Grinold-Kahn,0.001284,0.025976,0.059531,0.033555,0.0844,0.05316,0.004488,0.030464,True
AMP,False,CAPM,0.027544,0.027544,0.055462,0.027919,0.0585,0.093453,0.005463,0.033006,True
NUE,False,CAPM,0.025804,0.025804,0.170236,0.144432,1.4366,0.143224,0.205756,0.23156,True
SYY,True,Grinold-Kahn,-0.017898,0.006795,0.169619,0.162825,1.7407,0.078466,0.136582,0.143377,True
YUM,False,CAPM,0.012986,0.012986,0.074788,0.061802,0.2856,0.071067,0.020296,0.033282,True
CBRE,False,CAPM,0.030466,0.030466,-0.064407,0.094872,0.6639,0.115835,-0.076902,-0.046436,True
NDAQ,False,CAPM,0.024764,0.024764,-0.065338,0.090102,0.6007,0.105041,-0.063093,-0.03833,True
DAL,True,Grinold-Kahn,-0.041513,-0.01682,0.17024,0.187061,2.1114,0.230147,0.485933,0.469113,True
COIN,False,CAPM,0.057141,0.057141,-0.338638,0.395778,2.9976,0.385217,-1.154733,-1.097592,True
EW,False,CAPM,0.020166,0.020166,-0.064907,0.085072,0.537,0.060021,-0.032228,-0.012063,True
WAB,True,Grinold-Kahn,0.007781,0.032474,0.280694,0.24822,2.7365,0.114047,0.312094,0.344568,True
